Contig,HK_CF2,HK_CF35,HK_CF70,V_CF26,V_CF34,V_CF71
Phel_clc_contig_12278,9.036556357,8.791733992,9.51510766,6.557913959,6.973877566,7.34796412
Phel_clc_contig_8498,7.649817336,7.389148604,8.04144232,5.482054453,6.048447639,6.457471173
Phel_clc_contig_9745,5.048911855,4.941937312,5.503332832,1.96827511,3.781747877,3.683393288
Phel_clc_contig_11243,7.341388057,6.817605352,7.556856244,5.482054453,5.777396043,6.285546481
Phel_clc_contig_3087,8.265012528,7.719696152,8.311419556,6.726136399,6.855287109,7.312561716
Phel_clc_contig_386,7.409687083,6.86961605,7.594134223,5.658825569,5.395590685,6.424686993
Phel_clc_contig_17830,7.420762809,6.868066909,7.584904641,5.482054453,5.919278101,6.090324176
Phel_clc_contig_4792,10.37189304,9.627063975,10.45709118,8.219792908,8.805358887,8.792142481
Phel_clc_contig_17408,7.485486402,6.65826719,7.807546195,5.482054453,4.649063566,5.267408452
Phel_clc_contig_2720,8.078292801,7.568643995,8.538750765,6.206051226,5.577842694,6.457471173
Phel_clc_contig_9225,9.172172702,8.805150875,9.555829956,8.191320332,8.024175043,8.224764798
Phel_clc_contig_999,12.51883491,12.09015944,12.70580563,11.72409893,11.19789487,10.75550352
Phel_clc_contig_16810,7.718743143,7.756158651,7.575615634,5.816282258,6.940977158,6.520888927
Phel_clc_contig_13732,6.623821514,6.751940327,6.6377363,1.96827511,5.241996492,4.93632699
Phel_clc_contig_3474,10.19450584,10.28406711,10.25225645,9.012920868,9.459170106,9.354422627
Phel_clc_contig_10438,7.511619841,7.621078221,7.459215198,6.367454941,6.745252125,6.004182256
Phel_clc_contig_12582,7.485486402,7.428561173,7.386708361,4.766452051,5.885093549,4.374733478
Phel_clc_contig_17511,8.186075107,8.242070829,8.068183346,5.384823459,6.60527949,5.408226126
Phel_clc_contig_2661,12.09158728,12.04952802,11.98415827,10.34452994,11.10905537,10.12237584
Phel_clc_contig_23300,4.368433124,4.544398832,4.534796213,0,2.392647144,0
Phel_clc_contig_13447,5.721339846,5.616390047,5.616360638,3.283788458,4.649063566,3.683393288
Phel_clc_contig_15229,6.978862585,6.801467809,6.883373993,5.168172666,5.985309151,5.473796651
Phel_clc_contig_24878,5.132128501,5.033215943,5.046028248,2.77106155,3.781747877,3.153513526
Phel_clc_contig_18839,5.260962802,5.108603907,5.199044096,3.283788458,3.781747877,3.442651611
Phel_clc_contig_8176,10.19933764,10.03234071,10.11472555,7.137763759,8.122817644,7.141530886
Phel_clc_contig_13113,6.786780607,6.253333175,6.024027068,4.418945512,4.279627294,5.191483692
Phel_clc_contig_17462,6.25446177,5.464782607,5.57965988,3.661304959,2.737319011,4.230433605
Phel_clc_contig_2563,9.328833323,8.870038227,8.877963214,7.888471729,7.94342382,8.136412893
Phel_clc_contig_1754,7.875885706,7.473051417,7.229753254,5.889001328,4.476135384,5.473796651
Phel_clc_contig_11508,8.862694382,8.522146794,8.113818726,6.840565201,5.295032364,7.181328203
Phel_clc_contig_3651,8.246457494,7.822436354,7.469282014,6.206051226,5.129695157,6.749884173
Phel_clc_contig_3484,7.911653836,7.434851703,7.594134223,5.384823459,4.05205935,6.639925266
Phel_clc_contig_1499,11.71315321,11.53813528,11.20498629,10.33154266,9.796867177,9.384569002
Phel_clc_contig_16745,4.457174003,4.336119111,3.863373549,1.96827511,0,0
Phel_clc_contig_145,15.10386101,15.008742,14.85047826,13.87633052,13.76218128,13.40425311
Phel_clc_contig_512,12.88973716,12.72972342,12.52368255,11.40103469,11.40507587,10.89368006
Phel_clc_contig_12365,6.191191507,5.709276848,5.246647503,0,0,0
Phel_clc_contig_2786,11.74296642,11.45288104,10.97262079,8.055747169,8.275769272,9.138909159
Phel_clc_contig_15084,8.336933615,8.060738618,7.799589234,4.913143132,5.777396043,6.39113874
Phel_clc_contig_17182,7.415235574,7.123080541,6.821850499,2.77106155,3.015319148,4.374733478
Phel_clc_contig_22783,7.516790513,7.121781111,6.913179043,0,1.938925593,3.153513526
Phel_clc_contig_655,9.638502164,9.384034476,9.292233964,8.205626615,8.501263177,8.469421225
Phel_clc_contig_17176,7.442661562,7.317190992,6.971004311,5.046285869,4.565188923,5.339536494
Phel_clc_contig_5294,10.65059127,10.56652246,10.31779223,9.068771293,9.009550406,9.434826689
Phel_clc_contig_4177,9.172172702,9.087948608,8.900458389,7.719307357,7.748053942,8.234256048
Phel_clc_contig_4935,8.505062428,8.540251278,8.027883886,6.024288647,6.473446001,6.924194922
Phel_clc_contig_4975,7.696131564,7.674334941,7.4077997,5.658825569,6.27654133,6.39113874
Phel_clc_contig_19722,8.046469233,7.935452676,7.791588144,4.766452051,6.108940478,5.654318099
Phel_clc_contig_20352,7.213485323,7.108725166,7.053614237,4.418945512,5.241996492,5.111344363
Phel_clc_contig_27580,4.119306371,4.124104765,3.980619444,0,1.273277161,1.57269568
Phel_clc_contig_5925,8.153250035,8.102830795,7.972338254,7.013164087,7.127984007,7.141530886
Phel_clc_contig_9439,9.574238344,9.480442459,9.430043939,6.685884099,6.855287109,6.39113874
Phel_clc_contig_3095,8.310381478,8.269901832,8.000378658,6.946581156,7.037508518,6.992900959
