Contig	HK_CF2	HK_CF35	HK_CF70	V_CF26	V_CF34	V_CF71
Phel_clc_contig_9087	556.898	471.0348	800.9355	200.999	145.9594	221.1505
Phel_clc_contig_28718	9.1724	9.7871	16.0187	0	0	1.9746
Phel_clc_contig_1828	865.485	864.2748	1223.583	390.3459	442.1294	440.3264
Phel_clc_contig_9874	708.2432	687.9818	1136.0962	230.1293	267.8284	262.6162
Phel_clc_contig_11579	373.4492	357.4795	566.8159	230.1293	174.301	215.2268
Phel_clc_contig_17926	17.0345	19.4487	40.6629	2.913	0	1.9746
Phel_clc_contig_7564	47.8277	47.9316	94.8801	11.6521	5.6683	23.6947
Phel_clc_contig_8096	114.6555	114.1826	225.4942	14.5651	0	31.5929
Phel_clc_contig_12743	85.8278	109.4146	131.8463	49.5215	26.9245	51.3385
Phel_clc_contig_13620	37.3449	47.1788	66.5393	23.3042	12.7537	13.8219
Phel_clc_contig_4830	57.6553	70.7681	98.5767	34.9563	12.7537	21.7201
Phel_clc_contig_3342	3967.7344	5479.7632	6401.3232	2837.2903	1765.6835	1484.8674
Phel_clc_contig_17646	293.518	432.3883	867.4748	46.6085	141.7081	63.1858
Phel_clc_contig_13176	1041.0717	1787.5229	3131.0417	131.0863	65.1857	110.5752
Phel_clc_contig_6154	177.5522	266.5098	349.9472	116.5212	96.3615	128.3463
